,Product Name,Product ID,Listing Price,Sale Price,Discount,Brand,Description,Rating,Reviews,Images,Last Visited
1628,Women's adidas Running PulseBoost HD Shoes,EE4005,14999,14999,0,Adidas,"The city's full of surprises, but you can count on your run. These adidas shoes have a stretchy knit upper that fits like a sock and a wide forefoot platform for added stability. The responsive cushioning has a firm feel and provides support as you round corners and jump puddles.",0,0,"[""https://content.adidas.co.in/static/Product-EE4005/WOMEN_RUNNING_SHOES_EE4005_1.jpg"",""https://content.adidas.co.in/static/Product-EE4005/WOMEN_RUNNING_SHOES_EE4005_2.jpg"",""https://content.adidas.co.in/static/Product-EE4005/WOMEN_RUNNING_SHOES_EE4005_3.jpg"",""https://content.adidas.co.in/static/Product-EE4005/WOMEN_RUNNING_SHOES_EE4005_4.jpg"",""https://content.adidas.co.in/static/Product-EE4005/WOMEN_RUNNING_SHOES_EE4005_5.jpg"",""https://content.adidas.co.in/static/Product-EE4005/WOMEN_RUNNING_SHOES_EE4005_6.jpg""]",2020-04-13T15:07:20
2242,Men's adidas Running PulseBoost HD Shoes,EG0978,14999,14999,0,Adidas,Feel the energy of the city pulse as you run. These adidas shoes have a stretchy knit upper that fits like a sock and a wide forefoot platform for added stability. The responsive cushioning has a firm feel that provides support as you dodge cyclists and hop curbs.,0,0,"[""https://content.adidas.co.in/static/Product-EG0978/MEN_RUNNING_SHOES_EG0978_1.jpg"",""https://content.adidas.co.in/static/Product-EG0978/MEN_RUNNING_SHOES_EG0978_2.jpg"",""https://content.adidas.co.in/static/Product-EG0978/MEN_RUNNING_SHOES_EG0978_3.jpg"",""https://content.adidas.co.in/static/Product-EG0978/MEN_RUNNING_SHOES_EG0978_4.jpg"",""https://content.adidas.co.in/static/Product-EG0978/MEN_RUNNING_SHOES_EG0978_5.jpg"",""https://content.adidas.co.in/static/Product-EG0978/MEN_RUNNING_SHOES_EG0978_6.jpg""]",2020-04-13T15:07:45
1780,Men's adidas Originals White Mountaineering Nite Jogger Shoes,EG1686,14999,14999,0,Adidas,"Japanese brand White Mountaineering brings clean, outdoor style to the classic '80s Nite Jogger. This version of the acclaimed running silhouette features a soft leather upper. The Boost midsole adds a distinctive, modern look to these shoes.",0,0,"[""https://content.adidas.co.in/static/Product-EG1686/Men_ORIGINALS_SHOES_LOW_EG1686_1.jpg"",""https://content.adidas.co.in/static/Product-EG1686/Men_ORIGINALS_SHOES_LOW_EG1686_2.jpg"",""https://content.adidas.co.in/static/Product-EG1686/Men_ORIGINALS_SHOES_LOW_EG1686_3.jpg"",""https://content.adidas.co.in/static/Product-EG1686/Men_ORIGINALS_SHOES_LOW_EG1686_4.jpg"",""https://content.adidas.co.in/static/Product-EG1686/Men_ORIGINALS_SHOES_LOW_EG1686_5.jpg"",""https://content.adidas.co.in/static/Product-EG1686/Men_ORIGINALS_SHOES_LOW_EG1686_6.jpg""]",2020-04-13T15:07:27
1641,Unisex adidas Running Pharrell Williams Solar HU Human Made Shoes,EG1837,14999,14999,0,Adidas,"adidas teamed up with Pharrell Williams on these shoes designed for city running. They have a lightweight and breathable mesh upper. The flexible outsole works with responsive cushioning for a comfortable, energised ride. Graphics with a positive message brighten the forefoot.",0,0,"[""https://content.adidas.co.in/static/Product-EG1837/UNISEX_ORIGINALS_SHOES_LOW_EG1837_1.jpg"",""https://content.adidas.co.in/static/Product-EG1837/UNISEX_ORIGINALS_SHOES_LOW_EG1837_2.jpg"",""https://content.adidas.co.in/static/Product-EG1837/UNISEX_ORIGINALS_SHOES_LOW_EG1837_3.jpg"",""https://content.adidas.co.in/static/Product-EG1837/UNISEX_ORIGINALS_SHOES_LOW_EG1837_4.jpg"",""https://content.adidas.co.in/static/Product-EG1837/UNISEX_ORIGINALS_SHOES_LOW_EG1837_5.jpg"",""https://content.adidas.co.in/static/Product-EG1837/UNISEX_ORIGINALS_SHOES_LOW_EG1837_6.jpg""]",2020-04-13T15:07:21
2624,Men's adidas Basketball Harden Vol. 4 Shoes,EF9924,14999,14999,0,Adidas,"These basketball shoes are designed specifically for James Harden's game to help him stay strong in the fourth quarter. Featuring ultra-lightweight and responsive midsole cushioning, they have a midfoot band for the added lockdown and stability needed to make hard, decisive cuts. A rubber outsole tailored to Harden's signature on-court movements provides outstanding traction and grip.",0,0,"[""https://content.adidas.co.in/static/Product-EF9924/MEN_BASKETBALL_SHOES_EF9924_1.jpg"",""https://content.adidas.co.in/static/Product-EF9924/MEN_BASKETBALL_SHOES_EF9924_2.jpg"",""https://content.adidas.co.in/static/Product-EF9924/MEN_BASKETBALL_SHOES_EF9924_3.jpg"",""https://content.adidas.co.in/static/Product-EF9924/MEN_BASKETBALL_SHOES_EF9924_4.jpg"",""https://content.adidas.co.in/static/Product-EF9924/MEN_BASKETBALL_SHOES_EF9924_5.jpg"",""https://content.adidas.co.in/static/Product-EF9924/MEN_BASKETBALL_SHOES_EF9924_6.jpg""]",2020-04-13T15:07:59
2580,Men's Tennis Laceless Hard Court Shoes,EG2211,14999,14999,0,Adidas,You play every single day so you need a shoe that's both durable and comfortable. These adidas tennis shoes have a cushioned midsole for enhanced comfort whether you're working on your groundstroke or playing best-of-five. A durable and supportive build lets you play on any type of court surface.,0,0,"[""https://content.adidas.co.in/static/Product-EG2211/MEN_TENNIS_SHOES_EG2211_1.jpg"",""https://content.adidas.co.in/static/Product-EG2211/MEN_TENNIS_SHOES_EG2211_2.jpg"",""https://content.adidas.co.in/static/Product-EG2211/MEN_TENNIS_SHOES_EG2211_3.jpg"",""https://content.adidas.co.in/static/Product-EG2211/MEN_TENNIS_SHOES_EG2211_4.jpg"",""https://content.adidas.co.in/static/Product-EG2211/MEN_TENNIS_SHOES_EG2211_5.jpg"",""https://content.adidas.co.in/static/Product-EG2211/MEN_TENNIS_SHOES_EG2211_6.jpg""]",2020-04-13T15:07:58
1617,Women's adidas Running PulseBoost HD Shoes,EG1011,14999,14999,0,Adidas,"The city's full of surprises, but you can count on your run. These adidas shoes have a stretchy knit upper that fits like a sock and a wide forefoot platform for added stability. The responsive cushioning has a firm feel and provides support as you round corners and jump puddles.",0,0,"[""https://content.adidas.co.in/static/Product-EG1011/WOMEN_RUNNING_SHOES_EG1011_1.jpg"",""https://content.adidas.co.in/static/Product-EG1011/WOMEN_RUNNING_SHOES_EG1011_2.jpg"",""https://content.adidas.co.in/static/Product-EG1011/WOMEN_RUNNING_SHOES_EG1011_3.jpg"",""https://content.adidas.co.in/static/Product-EG1011/WOMEN_RUNNING_SHOES_EG1011_4.jpg"",""https://content.adidas.co.in/static/Product-EG1011/WOMEN_RUNNING_SHOES_EG1011_5.jpg"",""https://content.adidas.co.in/static/Product-EG1011/WOMEN_RUNNING_SHOES_EG1011_6.jpg""]",2020-04-13T15:07:20
2609,Men's adidas Basketball Harden Vol. 4 Shoes,EF9926,14999,14999,0,Adidas,"These basketball shoes are designed specifically for James Harden's game to help him stay strong in the fourth quarter. Featuring ultra-lightweight and responsive midsole cushioning, they have a midfoot band for the added lockdown and stability needed to make hard, decisive cuts. A rubber outsole tailored to Harden's signature on-court movements provides outstanding traction and grip.",0,0,"[""https://content.adidas.co.in/static/Product-EF9926/MEN_BASKETBALL_SHOES_EF9926_1.jpg"",""https://content.adidas.co.in/static/Product-EF9926/MEN_BASKETBALL_SHOES_EF9926_2.jpg"",""https://content.adidas.co.in/static/Product-EF9926/MEN_BASKETBALL_SHOES_EF9926_3.jpg"",""https://content.adidas.co.in/static/Product-EF9926/MEN_BASKETBALL_SHOES_EF9926_4.jpg"",""https://content.adidas.co.in/static/Product-EF9926/MEN_BASKETBALL_SHOES_EF9926_5.jpg"",""https://content.adidas.co.in/static/Product-EF9926/MEN_BASKETBALL_SHOES_EF9926_6.jpg""]",2020-04-13T15:07:59
2559,Men's adidas Running PulseBoost HD Shoes,EG0979,14999,14999,0,Adidas,Feel the energy of the city pulse as you run. These adidas shoes have a stretchy knit upper that fits like a sock and a wide forefoot platform for added stability. The responsive cushioning has a firm feel that provides support as you dodge cyclists and hop curbs.,0,0,"[""https://content.adidas.co.in/static/Product-EG0979/MEN_RUNNING_SHOES_EG0979_1.jpg"",""https://content.adidas.co.in/static/Product-EG0979/MEN_RUNNING_SHOES_EG0979_2.jpg"",""https://content.adidas.co.in/static/Product-EG0979/MEN_RUNNING_SHOES_EG0979_3.jpg"",""https://content.adidas.co.in/static/Product-EG0979/MEN_RUNNING_SHOES_EG0979_4.jpg"",""https://content.adidas.co.in/static/Product-EG0979/MEN_RUNNING_SHOES_EG0979_5.jpg"",""https://content.adidas.co.in/static/Product-EG0979/MEN_RUNNING_SHOES_EG0979_6.jpg""]",2020-04-13T15:07:57
1570,Unisex Football Predator Mutator 20.1 Firm Ground Boots,EF1629,14999,14999,0,Adidas,"You're not cheating the system. You're just bending the rules. Find your unfair advantage and transform your game with the all-new adidas Predator. The knit textile upper on these football boots wraps around your foot for a true 360-degree fit, while the mid-cut design supports your ankle. Rubber spines grip the ball for unmatched swerve, while a split outsole helps you dominate. Take control in Predator Mutator 20.1 Firm Ground Boots.",0,0,"[""https://content.adidas.co.in/static/Product-EF1629/MEN_FOOTBALL_SHOES_EF1629_1.jpg"",""https://content.adidas.co.in/static/Product-EF1629/MEN_FOOTBALL_SHOES_EF1629_2.jpg"",""https://content.adidas.co.in/static/Product-EF1629/MEN_FOOTBALL_SHOES_EF1629_3.jpg"",""https://content.adidas.co.in/static/Product-EF1629/MEN_FOOTBALL_SHOES_EF1629_4.jpg"",""https://content.adidas.co.in/static/Product-EF1629/MEN_FOOTBALL_SHOES_EF1629_5.jpg"",""https://content.adidas.co.in/static/Product-EF1629/MEN_FOOTBALL_SHOES_EF1629_6.jpg""]",2020-04-13T15:07:17
