,0
Product Name,men's adidas originals NEIGHBORHOOD CHOP SHOP SHOES
Listing Price,29999
Sale Price,29999
Discount,60
Brand,Adidas
Description,"adidas teams up with skate brand Numbers Edition on this version of the City Cup. Its design gets back to the basics, combining a superior fit with a clean, minimalist style that leads on the streets. These shoes are made from durable nubuck with a knit collar and a custom-moulded heel. The extra-sturdy cupsole has rubber tread up the sides for traction on your edges and more control."
Rating,0
Reviews,0
Images,"[""https://content.adidas.co.in/static/Product-S82260/Women_ORIGINALS_SHOES_LOW_S82260_1.jpg"",""https://content.adidas.co.in/static/Product-S82260/Women_ORIGINALS_SHOES_LOW_S82260_2.jpg"",""https://content.adidas.co.in/static/Product-S82260/Women_ORIGINALS_SHOES_LOW_S82260_3.jpg"",""https://content.adidas.co.in/static/Product-S82260/Women_ORIGINALS_SHOES_LOW_S82260_4.jpg"",""https://content.adidas.co.in/static/Product-S82260/Women_ORIGINALS_SHOES_LOW_S82260_5.jpg"",""https://content.adidas.co.in/static/Product-S82260/Women_ORIGINALS_SHOES_LOW_S82260_6.jpg""]"
Last Visited,2020-04-13T15:07:59
