,0
Product Name,Kid's Unisex adidas Originals X_PLR Shoes
Listing Price,899
Sale Price,449
Discount,0
Brand,Adidas
Description,"""We make a good team, my adidas and me."" Always on point, this slip-on Superstar shoe is back like never before. Follow in the footsteps of '80s hip hop royalty and do the New York b-boy look entirely your way.  

However that plays out chic blazer suits, scruffy jeans and tee you'll make it look easy in this cool, casual remake. Ahead of the 2020 All-Star Weekend, we've rebuilt the shoe with a fat tongue for extra slam dunk. Step into the future of no fuss comfort without sacrificing on old-school class."
Rating,0
Reviews,0
Images,"[""https://content.adidas.co.in/static/Product-280648/Men_Slides_SLIDES_280648_1.jpg"",""https://content.adidas.co.in/static/Product-280648/Men_Slides_SLIDES_280648_3.jpg"",""https://content.adidas.co.in/static/Product-280648/Men_Slides_SLIDES_280648_4.jpg"",""https://content.adidas.co.in/static/Product-280648/Men_Slides_SLIDES_280648_5.jpg"",""https://content.adidas.co.in/static/Product-280648/Men_Slides_SLIDES_280648_6.jpg"",""https://content.adidas.co.in/static/Product-280648/Men_Slides_SLIDES_280648_7.jpg""]"
Last Visited,2020-04-13T15:06:14
