,0
Product Name,Zoom LeBron 3 QS
Product ID,DA4155-400
Listing Price,19995
Sale Price,36500
Discount,0
Brand,Nike
Description,"With the Nike Air Max 90, a legendary shoe gets a luxe material treatment and brash colour palette with a history all of its own. Here, the Air Max 90 silhouette is clad in premium all-over suede with ballistic mesh accents to keep it breathable. This vibrant palette of saturated colours was made famous in the original Viotech release, which launched exclusively in Japan in the early 2000s. The head-turners have another classic to admire."
Rating,5.0
Reviews,223
Images,"[""https://static.nike.com/a/images/t_PDP_1728_v1/zysrzf8tplx1rrikinuk/air-max-270-react-shoe-8m45H9.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/alokxgwbtdgnsln8tb9q/air-max-270-react-shoe-8m45H9.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/ekm2v72j2ocgoyxrxmzj/air-max-270-react-shoe-8m45H9.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/lumkzfxsdfm4c7aiwc3s/air-max-270-react-shoe-8m45H9.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/whcpfiwpaehufl4im3un/air-max-270-react-shoe-8m45H9.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/bxsp4r7fjoezwrry4d3s/air-max-270-react-shoe-8m45H9.jpg""]"
Last Visited,2020-04-13T15:42:57
