,0
Product Name,Air Jordan 1 Jester XX Low Laced SE
Product ID,133000-106
Listing Price,0
Sale Price,1595
Discount,0
Brand,Nike
Description,"30 years after its original release, the Nike Air Max 90 is back to celebrate the new year. A tonal graphic print, inspired by the folk art of paper cutting, celebrates breakthrough moments from the past that also coincided with the Year of the Rat. Bold metallic gold accents include a symbolic 2020 sign-off on the tongue to finish this design that marks the beginning of a new decade and zodiac cycle."
Rating,0.0
Reviews,0
Images,"[""https://c.static-nike.com/a/images/t_PDP_1728_v1/aarkrcj5v5uobkrpv43i/air-jordan-11-low-shoe-WZLQ1c.jpg"",""https://c.static-nike.com/a/images/t_PDP_1728_v1/qqrlnwr2ssd6u5gzaht5/air-jordan-11-low-shoe-WZLQ1c.jpg"",""https://c.static-nike.com/a/images/t_PDP_1728_v1/e7ocacafuqdaqedzicsk/air-jordan-11-low-shoe-WZLQ1c.jpg"",""https://c.static-nike.com/a/images/t_PDP_1728_v1/ss50yporn91tk9vkwyfw/air-jordan-11-low-shoe-WZLQ1c.jpg"",""https://c.static-nike.com/a/images/t_PDP_1728_v1/vdtatf0n0u3w5qvuhxhq/air-jordan-11-low-shoe-WZLQ1c.jpg"",""https://c.static-nike.com/a/images/t_PDP_1728_v1/ajgendclx6fzuwkrwktz/air-jordan-11-low-shoe-WZLQ1c.jpg"",""https://c.static-nike.com/a/images/t_PDP_1728_v1/qxs8bw7vaph6jflec7vj/air-jordan-11-low-shoe-WZLQ1c.jpg"",""https://c.static-nike.com/a/images/t_PDP_1728_v1/lyjgho9o31hi6vuwhi53/air-jordan-11-low-shoe-WZLQ1c.jpg"",""https://c.static-nike.com/a/images/t_PDP_1728_v1/i4fillv6arfamua2dwtw/air-jordan-11-low-shoe-WZLQ1c.jpg"",""https://c.static-nike.com/a/images/t_PDP_1728_v1/nmneldzxxon4ptvzp4il/air-jordan-11-low-shoe-WZLQ1c.jpg""]"
Last Visited,2020-04-13T15:27:56
